同方全球人寿保险有限公司河北省分公司	请选择	2009-4-23	营业	
安华农业保险股份有限公司河北分公司	保险公司-财产险	2016-7-5	营业	
利安人寿保险股份有限公司河北分公司	保险公司-人身险	2015-8-13	营业	
河北景州农村商业银行股份有限公司	保险兼业代理	2018-10-31	营业	
燕赵财产保险股份有限公司河北分公司	保险公司-财产险	2017-2-28	营业	
吉祥人寿股份有限公司河北分公司	保险公司-人身险	2016-12-16	营业	
华泰财产保险有限公司河北省分公司	财产险	2002-7-26	营业	
华泰财产保险有限公司保定中心支公司	财产险	2011-1-13	营业	
华泰财产保险有限公司唐山中心支公司	财产险	2005-8-18	营业	
华泰财产保险有限公司秦皇岛中心支公司	财产险	2011-1-28	营业	
中国人民健康保险股份有限公司张家口中心支公司	人身险	2010-10-11	营业	
中国人民健康保险股份有限公司衡水中心支公司	人身险	2008-8-28	营业	
中国人民健康保险股份有限公司秦皇岛中心支公司	人身险	2008-7-22	营业	
中国人民健康保险股份有限公司邯郸中心支公司	人身险	2008-8-6	营业	
中国人民健康保险股份有限公司唐山中心支公司	人身险	2008-6-12	营业	
中国人民健康保险股份有限公司乐亭支公司	人身险	2012-11-7	营业	
中国人民健康保险股份有限公司丰润支公司	人身险	2012-11-7	营业	
安邦人寿保险股份有限公司河北分公司	保险公司－人身险	2010-11-15	营业	
中英人寿保险有限公司河北分公司	保险公司－人身险	2007-7-4	营业	
华泰人寿保险股份有限公司河北分公司	保险公司－人身险	2014-6-23	营业	
太平养老保险股份有限公司河北分公司	保险公司－人身险	2010-12-28	营业	
泰康养老保险股份有限公司河北分公司	保险公司－人身险	2012-3-28	营业	
天安人寿保险股份有限公司河北省分公司	保险公司－人身险	2012-4-20	营业	
中国人寿保险股份有限公司河北省分公司	保险公司－人身险	2006-6-30	营业	
中宏人寿保险有限公司河北分公司	保险公司－人身险	2012-11-22	营业	
建信人寿保险有限公司河北分公司	保险公司－人身险	2014-3-3	营业	
新华人寿保险股份有限公司河北分公司	保险公司－人身险	2002-4-5	营业	
信泰人寿保险股份有限公司河北分公司	保险公司－人身险	2008-3-6	营业	
阳光人寿保险股份有限公司河北分公司	保险公司－人身险	2009-11-17	营业	
中国人民健康保险股份有限公司河北分公司	保险公司－人身险	2008-1-2	营业	
农银人寿保险股份有限公司河北分公司	保险公司－人身险	2007-2-13	营业	
民生人寿保险股份有限公司河北分公司	保险公司－人身险	2003-11-14	营业	
国华人寿保险股份有限公司河北分公司	保险公司－人身险	2009-1-20	营业	
长城人寿保险股份有限公司河北省分公司	保险公司－人身险	2008-1-10	营业	
华夏人寿保险股份有限公司河北省分公司	保险公司－人身险	2011-10-21	营业	
平安养老保险股份有限公司河北分公司	保险公司－人身险	2007-3-22	营业	
合众人寿保险股份有限公司河北分公司	保险公司－人身险	2006-4-6	营业	
信诚人寿保险有限公司河北省分公司	保险公司－人身险	2009-10-19	营业	
太平人寿保险有限公司河北分公司	保险公司－人身险	2003-7-7	营业	
百年人寿保险股份有限公司河北分公司	保险公司－人身险	2009-11-23	营业	
英大泰和人寿保险股份有限公司河北省分公司	保险公司－人身险	2011-6-2	营业	
中国太平洋人寿保险股份有限公司河北分公司	保险公司－人身险	2000-12-5	营业	
富德生命人寿保险股份有限公司河北分公司	保险公司－人身险	2007-4-10	营业	
光大永明人寿保险有限公司河北分公司	保险公司－人身险	2010-12-28	营业	
泰康人寿保险股份有限公司河北分公司	保险公司－人身险	未知	营业	
幸福人寿保险股份有限公司河北分公司	保险公司－人身险	2010-7-12	营业	
中国平安人寿保险股份有限公司河北分公司	保险公司－人身险	2002-9-26	营业	
和谐健康保险股份有限公司河北分公司	保险公司－人身险	2011-4-12	营业	
工银安盛人寿保险有限公司河北分公司	保险公司－人身险	2012-4-10	营业	
中国人民人寿保险股份有限公司河北省分公司	保险公司－人身险	2007-12-24	营业	
安邦人寿保险股份有限公司石家庄中心支公司	保险公司－人身险	2011-10-28	营业	
安邦人寿保险股份有限公司唐山中心支公司	保险公司－人身险	2013-1-27	营业	
安邦人寿保险股份有限公司保定中心支公司	保险公司－人身险	2013-11-4	营业	
安邦人寿保险股份有限公司邯郸中心支公司	保险公司－人身险	2013-11-1	营业	
中英人寿保险有限公司唐山中心支公司	保险公司－人身险	2008-8-27	营业	
天安人寿保险股份有限公司邢台中心支公司	保险公司－人身险	2012-12-7	营业	
天安人寿保险股份有限公司保定中心支公司	保险公司－人身险	2013-1-30	营业	
天安人寿保险股份有限公司沧州中心支公司	保险公司－人身险	2013-6-9	营业	
天安人寿保险股份有限公司唐山中心支公司	保险公司－人身险	2013-12-20	营业	
天安人寿保险股份有限公司邯郸中心支公司	保险公司－人身险	2014-5-6	营业	
中国人寿保险股份有限公司邯郸分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司秦皇岛分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司承德分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司沧州分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司唐山分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司石家庄分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司保定分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司邢台分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司张家口分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司衡水分公司	保险公司－人身险	2003-6-30	营业	
中国人寿保险股份有限公司廊坊分公司	保险公司－人身险	2003-6-30	营业	
建信人寿保险有限公司唐山中心支公司	保险公司－人身险	2015-2-10	营业	
建信人寿保险有限公司廊坊中心支公司	保险公司－人身险	2015-2-10	营业	
建信人寿保险有限公司邢台中心支公司	保险公司－人身险	2015-2-10	营业	
新华人寿保险股份有限公司石家庄中心支公司	保险公司－人身险	2011-5-25	营业	
新华人寿保险股份有限公司保定中心支公司	保险公司－人身险	2003-11-19	营业	
新华人寿保险股份有限公司廊坊中心支公司	保险公司－人身险	2003-11-27	营业	
新华人寿保险股份有限公司邯郸中心支公司	保险公司－人身险	2003-11-7	营业	
新华人寿保险股份有限公司唐山中心支公司	保险公司－人身险	2003-11-26	营业	
新华人寿保险股份有限公司秦皇岛中心支公司	保险公司－人身险	2003-11-29	营业	
新华人寿保险股份有限公司衡水中心支公司	保险公司－人身险	2005-12-29	营业	
新华人寿保险股份有限公司沧州中心支公司	保险公司－人身险	2011-5-25	营业	
